member,下載,type,text,規格書
ARA01D#,已下載,DSPF,出貨單資料輸入 ,
ARA05D#,已下載,DSPF,銷貨退回折讓資料輸入 ,
ARI01D#,已下載,DSPF,客戶銷貨明細查詢A1055,
ATN01D,已下載,DSPF,  ,
BMA003D#,已下載,DSPF,材料結構資料維護 ,
C@TESTPF,已下載,PF,CONTROL FILE FOR CONCURRENTUPDATE,
FIA02CD,已下載,DSPF,系統狀況 ,
FIA210D#,已下載,DSPF,銷退折讓類別維護 ,
FIA210D@,已下載,DSPF,銷退折讓類別維護  ,
FIS05D$,已下載,DSPF,部門代號多筆查詢副程式ROLL BY RPG ( INQ.),
FIS05D$@,已下載,DSPF,部門代號多筆查詢副程式ROLL BY RPG ( INQ.),
FIS05D#,已下載,DSPF,部門代號多筆查詢副程式ROLL BY 400 ( INQ.),
FIS210D#,已下載,DSPF,銷退折讓多筆明細查詢  ,
FLPF,已下載,PF,FOR PTB851: COPIED FROMOUTFILE OF DSPDBR ,
GRID3D,已下載,DSPF,   ,
PF859,已下載,PF,FOR PTB859: COPIED FROMOUTFILE OF DSPOBJDA1046,
PGPF,已下載,PF,FOR PTB851: COPIED FROM OUTFILEOF DSPPGMTRF,
PTB854P,已下載,PRTF,檔案被程式使用的狀況列印 ,
PTC@PF,已下載,PF,FOR DPACT USE ,
PXLF,已下載,LF,"Document Listing              ,Logical   , 101290",
PXPRTF,已下載,PRTF,"Document Listing              ,QSECOFR   , 101290",
PYA040D#,已下載,DSPF,人事基本資料建立 ,
PYA040D@,已下載,DSPF,人事基本資料建立 ,
PYR221D#,已下載,DSPF,年度薪資扣繳總表列印 ,
PYR222P#,已下載,PRTF,年度薪資扣繳總表列印,
P07D,已下載,DSPF,TEST P07 DISPLAY FILE,
P21D,已下載,DSPF,TEST P21 DISPLAY FILE,
P30D,已下載,DSPF,TEST P30 DISPLAY FILE,
P31D,已下載,DSPF,TEST P31 DISPLAY FILE,
P32D,已下載,DSPF,TEST P32 DISPLAY FILE,
P33D,已下載,DSPF,TEST P33 DISPLAY FILE,
P34D,已下載,DSPF,TEST P34 DISPLAY FILE,
P35D,已下載,DSPF,TESTP35DISPLAY FILE ,
P36D,已下載,DSPF,TESTP36DISPLAY FILE ,
P37D,已下載,DSPF,TESTP37DISPLAY FILE ,
P45D,已下載,DSPF,TESTP45DISPLAY FILE ,
P46D,已下載,DSPF,TESTP46DISPLAY FILE ,
P51D,已下載,DSPF,   A1088,
P53D,已下載,DSPF,TESTP53(SCREEN)A1062,
P61D,已下載,DSPF,DSPFFORP61 ,
P68,已下載,PF,  ,
R@A001D,已下載,DSPF, A1062,
R@A002D,已下載,DSPF, A1062,
R@RAPF,已下載,PF, A1062,
R@RF,已下載,PF, A1062,
R@R003D,已下載,DSPF, A1062,
R@R003P,已下載,PRTF, A1062,
S@A01D,已下載,DSPF,程式代號維護A1046,
S@A04D,已下載,DSPF,程式使用權設定－依使用者別A1046,
S@A05D,已下載,DSPF,程式使用權設定－依程式別A1046,
S@A12D,已下載,DSPF,程式使用權隱藏A1046,
S@A14D,已下載,DSPF,程式代碼建立（選擇）A1038,
S@M01D,已下載,DSPF,安全管制系統主畫面建立A1046,
S@RF,已下載,PF,S@ REFERENCE FILE ( 安全管制系統 )A1067,
S@R06D,已下載,DSPF,程式使用權檢核表列印－依使用者別A1046,
S@R06P,已下載,PRTF,程式使用權檢核表列印－依使用者別A1046,
S@R07D,已下載,DSPF,程式使用權檢核表列印－依程式別A1046,
S@R07P,已下載,PRTF,程式使用權檢核表列印－依程式別A1046,
S@R08PX,已下載,PRTF,終端機使用權檢核表列印A1046,
S@SPPF,已下載,PF,程式主檔A1067,
S@SRPFX,已下載,PF,終端機使用權主檔A1067,
S@SULF01,已下載,LF,程式使用權主檔 LOGICAL FILEA1067,
S@SUPF,已下載,PF,程式使用權主檔A1067,
S@TXPF,已下載,PF,程式說明暫存檔A1038,
SETDSP,已下載,DSPF,設定開機 A1084,
TXPF,已下載,PF,FOR PTB851: COPIED FROM OUTFILE OFDSPFD ,
WKBKUPF,已下載,PF,FOR WEEKLY BACK UP!  FOR TYPE SAVE  ,
